title,description,release_date
Zero-G Gunfight,"WWIII has ended in total annihilation but the battle continues in outer space. Challenge 1-3 friends in the fast-paced &amp; frantic arenas of Zero-G Gunfight. Pickup different guns that change how you move &amp; fight. Dodge enemy bullets &amp; avoid unique hazards as you strive to be the last one standing! Decades of a fragile peace are gone, the weapons of war are being mobilized as even the vastness of space is not big enough for peace. Prepare yourself for the fast paced arenas of Zer0-G Gunfight where only the best will survive and bring their nation one set closer to intergalactic supremacy! Features: 2-4 player local PvP Single Player Time Trail Unique Arenas Guns change they way you move and fight ","Feb 16, 2023"
Escape The Manor,"Will you escape? This puzzling horror that guarantees to have the hairs on the back of your neck standing on ends. Trapped in a manor accompanied by ghosts of an evil past, which truant the corridors and the great halls. They are never far behind you. Sending chills up your spine as your heart rate increases, this is a constant reminder that the ghosts are never far. Your aim is to escape the manor through the front door, with the items that are scattered around for you to collect. However, its not just the items that you need to collect to escape, as the door also has some puzzle elements. Any sound that you make will be heard by the ghosts, be careful to avoid standing on the broken glass and rubble as this will trigger the ghost to find you. Lastly the ghost can and will travel through walls, floors and doors, so there is no escape when she is on your tail. However, one old trick of hiding under the bed may keep you safe. You have 5 lives, good luck! Game modes I have added a number of game modes to be enjoyed, and a practice mode to explore the manor and locate the items without the ghost. Practice Normal 10 minute challenge Super challenge The game also has full controller support.","Jan 28, 2020"
Hey! Here are some letters,"Okay, so you have these letters, right? You can combine them into words, like this. You click on the word to get a score for the number/type of letters you have in the word. (You get 8 points for the word, 'WORD', as 4 + 1 + 1 + 2 = 8) If two or more words share any letters, they join into a group, When you clear the group, you get a multiplier score for each word in the group. There are two modes, an Endless Mode, and a Matrix Mode. In the Endless Mode, new letters spawn and are added to the grid every time the timer bar runs out. The new letters spawn faster and faster as time goes on. In the Matrix Mode, every tile in the grid is filled in, and the goal is to clear all of the letters to get the highest score you can. ","Mar 4, 2024"
Simulators2021,"Simulators2021' is a simulation game that integrates all kinds of interesting types. Each map has its own method of playing, as well as fun eggs. And buy once to enjoy a permanent update game ontology content free. All kinds of simulation games let you have fun at one time. Game Features ·There are many game modes to choose from ·Real picture ·Independent plot of each mode ·Trigger multiple outcomes Maps Ready Bathing Simulator Thermometer Simulator Test Fruit Simulator Plan Blind Simulator ??? Simulator ??? Simulator (There will be more fun modes to play in the future) Version At present, it is in the testing stage, and the number of maps and modes is not the final version. The multiplayer mode will be developed soon, and you can play online with your friends soon","Nov 16, 2020"
Food Truck Monopoly,"Food Truck Monopoly is a simulation game where you step into the shoes of a food truck worker on a mission to manage a business. Navigate bustling city streets, take orders from demanding customers, cook up delicious meals under pressure, and keep your food truck rolling. Balance speed, accuracy, and $ management to stay ahead of the competition and survive as long as possible. Upgrade your truck, explore new neighborhood, and serve mouthwatering dishes to dominate the food truck scene! ","Jul 13, 2025"
Finding Fate,"Finding Fate is a hidden object game following the journalist Fate, in her quest to uncover the truth and her own past. The game is split into episodes, with a new and exciting one releasing every month. The story resolves around Fate, her work as a journalist and the cases she investigates. Each episode has a new case and new characters. There is a longer story arc across all episodes too, in which Fate tries to piece together the mystery of her own past. Each episode consist of five levels of classic hidden object gameplay. Each level must be completed multiple times before it's fully investigated, and you can progress to the next one. There are multiple game modes for each level, like night mode, mirror mode and anagrams if you are looking for a bigger challenge. In addition to the monthly story based episodes, there is a challenge mode where levels must be completed in time. The faster you are, the better your medal. Try to get gold in all challenges - we dare you! New challenges are released every week. All episodes and challenges are released as free content updates, and there are no further purchases beyond buying the game. Multiple episodes - a new one is added each month. Time challenge mode with new challenges every week. Several game modes, like night, mirrror and 10 differences. Photo realistic level graphics, comic book style characters. Game progress data stored online. ","Jun 7, 2023"
Galvanized,"In order to pay off your family's' debt, you've relinquished your body to be resurrected as a killing machine. Centuries later, you wake up to a world that is physically broken in half, and a blight of undulating flesh is writhing from its core and overcoming the last remnants of civilization. As the Galvanized, it's all on you to beat back the flesh blight, and protect your city from the encroaching threat. Do you have what it takes, or will you be assimilated like the rest? Blast your way through gritty, brutalist settings and monsters far beyond even your darkest fears. Traverse this forboding terrain with a body of unfeeling steel and superhuman speed. Above all, if you wish to regain your material freedom, leave none of the weaker fleshnoid lifeforms in your wake... Galvanized will have an episodic single player campaign with a free demo, a format evocative of PC gaming's shareware era. Paid content will be released as Episodes which will be selectable from the main menu if you buy into Galvanized early access. The final game will feature 3 episodes in total where you discover this twisted world's origins, and who is truly to blame for its fate. Your new body will also feature advanced movement mechanics, like a thrusted dash and wall kicking, that will encourage speedy gameplay. A Galvanized warrior drone has a hefty arsenal at their disposal, but they must be recovered from the environment. There are alternate firing modes for each weapon. Try right clicking with each for a hefty variety of combat and movement options! Slag Gun - The primary fire punches 6 holes into a disk of compacted slag at supersonic speeds, creating a short range kinetic burst for for clearing your immediate surroundings. The alt-fire launches a grenade for lobbing around corners and behind enemy cover. Chain Gun - A rotary assault weapon fed by a quantum hypercapacity magazine designed to deliver a steady stream of hollow point ammunition to any cellular life the user wishes to shred. The alt-fire is a grappling chain that embeds itself into fleshy surfaces in the environment, you can raise or lower yourself on the chain with the scroll wheel for an extended range of movement. Rocket Gun - The primary fire delivers a payload of high explosive charges that are effective against foes with heavy armor or metalic bodies. The alt fire activates a spacetime moebius strip at the rocket's current position, essentially freezing it in mid air. Use this to charge a barage for clearing many enemies at once. Burr Gun - A mysterious flesh blight organism that turns out to make a great improvised weapon for the Galvanized. It spits a small spikey lifeform out of what most would assume is a mouth. The alt-fire allows the weilder to control the position of the Burr psychokinetically to pummel any target. The more lifeforms it spits out, the more effective the attack, however spawning these creatures takes time that must be used to evade enemy attack. Far Gun - A long range, rotary duel barreled rifle with sensor driven anti-recoil motors for pinpoint accuracy at 8,000 yards in any condition. The alt-fire brings up the scope to zoom in, go for headshots on unaware targets for maximum damage. There's many more weapons to come! As you engage the fleshy menace, you'll begin hearing voices within your mind. A particularly persistant one says, 'Do better.' This special time attack mode will allow you to race a ghost version of your best time in clearing a single player level. Optimize your movement and combat strategy to beat your personal best times and climb your way up the online leaderboard!","Jun 17, 2025"
ENOH,"A newly established private high school. The school is temporarily closed due to a series of inexplicable incidents. You become a psychic medium and confront the ghosts to break the spell of the school's bitterness. The disappearance of the missing girl student... Will you be able to stop all the spirits in the school and restore peace to the school? ENOH is a survival horror game with a first-person perspective. As you avoid ghosts, you'll have to put up ”Ofuda” in each classroom, solve riddles, and quell the ghosts in all the classrooms. The location of the ”Ofuda” is randomly decided within a specific range for each classroom. Please use a flashlight to find the location. There are hints and tricks in classrooms other than the regular classrooms. Use them to your advantage. The main character has no way to fight. If you are spotted by a ghost wandering the corridors, just run or hide. Try not to get caught. You can hide in lockers, but they will pry you open if you hide at close range. In the classroom, put up your Ofuda while avoiding the ghosts. There are nine different types of ghosts, etc. The game is automatically saved after you complete each classroom. Some stages have a time limit. There are two endings, one normal and the other good. There are two endings including the normal ending. The main character doesn't have any coins, but if he does, he can buy a cup of coffee that will bring out his abilities. Female students are fully voiced and lip-synced.","Oct 27, 2021"
Eastshade,"You are a traveling painter, exploring the island of Eastshade. Capture the world on canvas using your artist’s easel. Talk to the inhabitants to learn about their lives. Make friends and help those in need. Discover mysteries and uncover secrets about the land. Surmount natural impasses to reach forgotten places. Experience how your actions impact the world around you. Features A peaceful open-world exploration-adventure full of character Compose paintings anywhere in the world and offer them to the locals to unlock secrets and gain items Acquire crafting materials and schematics to surmount obstacles and solve quests Make friends along the way through fully-voiced dynamic conversations and unlockable topics ","Feb 13, 2019"
Martha Madison: Simple Machines Volume 1,"Transform your room into a science lab and go bonkers with Martha Madison: Simple Machines Volume 1. Players, as virtual scientists, work alone or collaboratively with a partner to use screws, inclined planes and wedges to solve physics puzzles and challenges. Martha Madison, meerkat scientist and student mentor, is on-hand to guide players as they embark on science-filled, problem-solving adventures that bring classroom instruction to life. Martha Madison: Simple Machines Volume 1 is part of a series of games designed from the ground up to enhance middle school-level science curriculum by captivating players and making complex concepts meaningful. All of the games in the Martha Madison series allow players to cooperatively solve real-world challenges that develop critical thinking, problem solving, technology literacy and adaptability. Game Features: Single Player and Couch Co-Op Support Co-Op Keyboard Support (both players can play on a single keyboard) A level editor to build and play your own Simple Machines-based levels Other Games in the Martha Madison Series:","Feb 8, 2018"
Shadow of the Tomb Raider: Definitive Edition,"In Shadow of the Tomb Raider Definitive Edition experience the final chapter of Lara’s origin as she is forged into the Tomb Raider she is destined to be. Combining the base game, all seven DLC challenge tombs, as well as all downloadable weapons, outfits, and skills, Shadow of the Tomb Raider Definitive Edition is the ultimate way to experience Lara’s defining moment. Survive and Thrive In the Deadliest Place on Earth: Master an unforgiving jungle setting in order to survive. Explore underwater environments filled with crevasses and deep tunnel systems. Become One With the Jungle: Outgunned and outnumbered, Lara must use the jungle to her advantage. Strike suddenly and disappear like a jaguar, use mud as camouflage, and instill fear in enemies to sow chaos. Discover Dark and Brutal Tombs: Tombs are more terrifying than ever before, requiring advanced traversal techniques to reach them, and once inside they are filled with deadly puzzles. Uncover Living History: Discover a hidden city and explore the biggest hub space ever found in a Tomb Raider game. ","Sep 14, 2018"
ARCHiTECTUS,"ARCHiTECTUS is a sandbox game about planning, building, furnishing and exploring of constructions. Players can use more than a hundred different components with lots of color variations to bring their creations to life. Features: Loads of components to build with -Drywall components -Clapboard components -Brick components -Concrete components -Roof components -Furnitures -Trimmings -Staircases -Doors &amp; windows Several environments to view your creation in -Planning board -Tilted planning board -Open space Lots of variations in color Several animated components to interact with Endless possibilities in building An easy to use interface for all ages A brand new tutorial system to learn the game Performance: The performance greatly depends on the complexity of your creation. While a simple house may run smoothly, larger and more dense buildings might cause some performance issues on weaker configurations. We try our best to provide a game that everyone can enjoy as smoothly as possible.","Aug 6, 2020"
New kind of adventure,"New kind of adventure is a 3D adventure game with RPG elements. Mary hides in a wardrobe after her parents had a fight. She falls asleep. When Mary awakes, she discovers that she is in a beautiful, magical world with giant strawberries and magical druids! With her new friend Aquarius, Mary must find a way back to the real world! Features: Use Mary's new found powers and Aquarius' magical abilities to solve puzzles and complete quests. Collect Artefacts to unlock new magical powers and abilities. A huge vibrant world, with colourful wildlife and environments. Gather items and resources to trade with Druids. Original folk jam soundtrack. ","Jun 4, 2015"
Homing Instinct,"ABOUT GAME Are you drunk? Then go home. I get drunk when I drink! I feel good when I drink! I feel good when I'm drunk? When you are drunk, your cerebral and cerebellum are paralyzed, and your cerebral neocortex function is reduced, thereby suppressing your reason. drunk lightly -&gt; feel good drunk Moderately -&gt; instincts become harder to control. drunk extremely -&gt; memory, reason disappear. After being completely intoxicated, will my body be able to go home safely with only my instincts left? Even if you are drunk and unconscious, you can go home with your instincts. A platform game that reaches its final destination at the risk of returning to its starting point in case of a mistake. Players must steer a drunk person home safely. In the process, they must start all over again, falling down. It consists of a single stage, can't be saved, and there are no checkpoints.","Apr 29, 2024"
Tales of Sintra: The Dark Vortex,"Tales of Sintra: The Dark Vortex is a VR action-adventure with physical combat, exploration, and puzzles set in a dark and magical world on the brink of destruction. 🗡️ Physical combat and progression without menus Wield two swords, a shield, and a bow. Learn to fight with realistic mechanics while unlocking new powers and upgrades — all without traditional HUDs or inventories. 🧩 Exploration and puzzles Traverse dungeons, castles, temples, and ancient fortresses while solving environmental puzzles that block your path. ✨ Spells and ancient guardians Defeat powerful guardians to obtain legendary spells and enchant your weapons to reach new areas and face tougher enemies. 🌄 Designed for PCVR This version features enhanced graphics compared to the Quest edition — with improved lighting, draw distance, and textures. 🧭 A complete VR experience No microtransactions, no cut content. A full adventure of 6 to 8 hours of immersive VR gameplay. ","Feb 26, 2024"
Block Pieces - 3D Jigsaw Puzzle,"Block Pieces is a 3D jigsaw puzzle, minimalist and relaxing experience. Exercise your skill in reassembling 3D models back to their original form, while listening to a relaxing soundtrack in a totally minimalist environment. 50 challenges. Calm and relaxing soundtrack. Simple and minimalist puzzle game. Satisfactory sound effect. Unique puzzles. ","May 22, 2024"
Hole in Won,Create the Course Help the golfer putt the ball into the hole. Create the golf course by laying down tiles in the correct order. Handcrafted Puzzles Play 100 handcrafted levels of increasing difficulty. Can you master all the different tiles? Level Editor Create your very own golf puzzles using the built-in level editor. What kind of creative idea's will you come up with? Arcade and Community Upload and share your created levels to the Arcade. Play and enjoy levels other people have created.,"Jan 3, 2023"
Funguys Swarm,"Funguys Swarm is a survivor-style roguelite where you play as forest weirdos fighting the Fire King’s flaming minions. Level up, unlock new heroes, pets, skills—even mechas—and rescue creatures to grow your Forest Sanctuary for permanent upgrades. Perfect for both newcomers and seasoned survivors! Choose from a cast of silly funguys, each with their quirky charm and unique abilities. Whether you like getting up close and personal or prefer to keep things tactical from afar, there’s a funguy for every playstyle. Face off against never-ending waves of flaming minions, mutated veggies, and things that probably shouldn’t be on fire. The longer you last, the weirder—and wilder—it gets. Grab upgrades mid-run and stack chaotic, over-the-top powers that turn your goofy forest friend into a full-blown nature-powered menace. A weapon to surpass the m.... menace of the fire king! Powered by the forest and questionable engineering. It probably shouldn’t work, but it does. Every now and then, the swarm throws a tantrum and sends in a giant boss. They're huge, unpredictable, and almost always on fire. Oh yeah, did I mention that there's even a bigger baddie at the end of each arena? Fret not, you have the forest backing you up in the Sanctuary, a place where you can upgrade your powers to be more ridiculous than it is right now... for the right price of course! Initial early access release includes: 2 Biomes 2 Characters 50 Upgrades 3 weapons and many more we lost count ","Aug 21, 2025"
Museum No.9,"Bug reporting / Official Q&amp;A / Optimization suggestions / Venting and communication Official game community： Welcome to the era of human civilization's the magical civilization where you will be reborn from the ashes, you will manage an 'Old World' museum. As the museum expands and delves deeper into the 'Old World,' what kind of life will you lead in the new world, and what kind of conclusion will you face...? Free expansion + rich furniture system.You can choose any style to build your museum. As a museum curator, you'll need to repair artifacts, optimize the layout of the museum, and provide explanations to every visitor who comes in. Turn materials acquired through adventures into crafted items using alchemical machinery. While these crafted items become immensely popular, only you understand that 'they are merely a trace and imitation of artifacts from the Old World.' As both the curator and explorer, you venture into the 'Old World,' defeating monsters and enriching your museum's collection. Utilize magic to unlock artifact side quests and standalone dungeons, delving deep into the secrets behind the relics. In the ancient ruins, unravel the threads, documenting the traces left by time. White tower mage, traveling merchant, scholar, retired investigator, artificial steward... As the museum grows, more and more people gather around you. Their destinies have long been intertwined with yours, and you will lead them towards what kind of future...? ","Feb 9, 2025"
POLAR,"Are you a target? or not? The target mode, one of the polar game modes, brings a different perspective to survival. If you are a good player, you can survive in a minute without dying. Polar is presented to you in 3 different game modes. 1- Free For All FREE FOR ALL MODE; In Free For All mode, you can pick up all the weapons from the ground and try them on other players. This mod gives you a chance to try all the weapons. So you quickly get used to the game dynamics. 2- capture of flag CAPTURE OF FLAG MODE; 5v5 two teams fight in flag capture mode. The team with the highest enemy flag in 15 minutes wins the game. You have to fight tactically to ignore your flag on your enemy. 3-Target Mode TARGET MODE; In the target mode, the presenter chooses one out of 10 people and increases their health by 3 times, but since 10 people will fight you, you should practice good tactics. If you can stand for a minute, the server will choose another player as the target. This cycle continues until the last player remains. How do you earn coins? -You earn +1 P-coin and +5 -N-coins for each player kill -if you hit the player in the head, you earn +3 P-coins -And if you complete missions you get P-coins and N-coins -If you are the winner at the end of the game, when you stay in the game at the computer, your headshot and end-of-game points are calculated and your tokens are distributed.","Aug 31, 2020"
Geek Resort,"Create, customise and manage the ideal geek theme park! If you're a geek to the bottom of your BIOS and your pixels simply go OMG! for park creation, then Geek Resort is for you! Build and upgrade your attractions to create the best geek theme park, but be careful, “with great power comes great responsibility'! Manage your income and expenditure, hire staff, maintain your attractions and keep your park clean; because geeks do have high standards! Stay vigilant, however, because a zombie invasion, hack attack or any random catastrophe may strike at any time! Build a geek paradise to your own specifications, based on your favourite universes. Discover geeks in cosplay outfits, each more original than the last! As a true geek, can you spot all the references in the game?! Geek Resort, gotta catch’em all!","Jan 20, 2016"
Chronosurge: Echoes of the Void,"THE UNIVERSE DIED. THE FIGHT HAS ONLY JUST BEGUN. Prepare to face the end of reality in Chronosurge: Echoes of the Void, an intense roguelite survival game where every decision shapes your destiny. The Void has consumed everything we knew, leaving behind only distorted and hungry echoes of the past. You are the last spark of life, trapped in an arena where reality itself unravels. Your only hope is to master the Chronosurge, a mystical force that transforms chaos into power. Survive the Echo of the End Face infinite hordes of anomalies with unique behaviors, from agile hunters to relentless behemoths. Each wave presents a new challenge, demanding adaptation and strategy to survive. Enemies grow stronger with every passing moment, testing your limits and reflexes in frantic, unforgiving combat. Forge Your Own Power Create devastating builds by combining dozens of insane upgrades. Transform yourself into a bullet storm, summon black holes to devour your enemies, or bend time to your advantage. Strategic depth lies in your ability to experiment with absurd synergies and find the perfect combination to overcome the challenges of the Void. Minimalist gameplay ensures that action is the focus, with intuitive controls that are easy to learn but brutally difficult to master. Game Features: •Intense Roguelite Survival: Face endless waves of enemies in dynamic and challenging combat. •Insane Builds: Combine dozens of upgrades to create unique and devastating synergies. •Adaptive Enemies: Anomalies that evolve and grow stronger with each wave, ensuring a constant challenge. •Minimalist Controls: Full focus on action and strategy, with WASD for movement and mouse to shoot. •Cosmic Leaderboards: Compete with other players to etch your name at the top of the rankings (feature to be implemented). Test your limits and see how far you can go in the Void. Each match is a new opportunity to surpass your previous records and reach the top of the leaderboards. Will your courage be as infinite as the Void? ","Oct 17, 2025"
Aeroplanoui,"You are tasked with protecting the asteroid mining operation, when the enemy starts the invasion. Protect your base from the incoming hostile forces for as long as you can to earn your place in the leaderboards. Aeroplanoui is an exciting, fast-paced action arcade shooter. Up to four friends can join forces and play online, to shoot your way to victory through hordes of enemy spaceship, tanks, drones and more.","Jul 18, 2018"
VSS - Virtual Streaming Software,Virtual Streaming Software or VSS is a Live2D model body tracker and mapper. Use it to animate your models is real-time using your webcam. VSS Features: High accuracy Face Tracking High accuracy Pose Tracking High accuracy Iris Tracking High accuracy Hand Tracking High accuracy Emotion Tracking Automatic Animation Blending Import Custom Live2D Models Simple to use with Optional customization options for advanced users The perfect software for virtual streamers! ,"Jan 26, 2022"
TIMEGAL HD-Remaster,"Encounter dinosaurs, cavemen, pirates, gladiators, giant robots, aliens, maniacally laughing villains, and more in this time-travelling, interactive anime adventure! First appearing in arcades in 1985, Time Gal was Taito's 3rd Laser Disc game, and this release features visuals remastered from the original laser disc. Follow the story, helping Reika avoid traps and battle enemies with well-timed inputs, or enjoy the various game-ending mishaps a mistaken input can yield! Story In 3001 AD the arch villain, Luda, steals a time travel device and flees across time with the intention of taking over the world by altering events across various eras. Our heroine, time protection police officer Reika, AKA Time Gal, must chase him across time and put an end to his evil machinations! What is an LD Game?! Laser disc games were a genre of games which were popular in arcades in the mid-1980s, and used laser discs to display animated and live action visuals to allow for graphics far beyond what video games were capable of at the time. They mostly involved the player watching an animated video while reacting at key points with joystick and/or button inputs to advance the game, or fail, and witness the wide variety of possible failures. CONFIG menu: PLAYER Select the number of lives available per play. LEVEL Select the difficulty level. COMMANDS LANGUAGE Change some of the languages ​​displayed in the game. DISPLAY Select the screen size. EXTEND If set to ON, you will gain an extra life/lives when achieving certain scores. LV-DOWN If set to ON, the difficulty will decrease after a certain number of failures. CONTINUE If set to ON, you will be able to continue after losing all your lives. RANKING Using RESET will delete the saved high score data. VOICE Select ARRANGE to use newly recorded, clearer voice data. Select ORIGINAL to use the arcade original's voice data. ","Apr 9, 2025"
Touhou Bunkachou ～ Shoot the Bullet.,１．ゲーム概要 ・ゲームの目的 　しがない天狗の新聞記者「 射命丸文（しゃめいまるあや） 」を操作し、 　新聞の記事になりそうな妖怪、人間、その他の写真を撮影して 　精神的ダメージを与えれば勝ちです。 ・ルール 　敵弾に当たらないように文を操作し、被写体を撮影しましょう。 　 被写体が写っていない写真は没（ノーカウント） となります。 　被写体を 規定回数撮影すればステージクリア です。 　なお、クリアできなかった場合はハイスコアには残りません。 ２．基本技術　操作編 ・操作方法 　 撮影ボタン 　　　　 写真を撮影（フィルム装填100%時） 　　　　　　　　　　 押し続けると一定時間ファインダーモード。 　　　　　　　　　　（キーボードはＺキー） 　 低速移動ボタン 　　 押し続けると文の移動速度が遅くなります。 　　　　　　　　　　（キーボードはShift、及びＸキー） 　 同時押し 　　　　　 超精密移動、及び 　　　　　　　　　　 高速フィルム巻き（フィルム装填100%以下時） 　 決定 　　　　　　 　撮影ボタン 　 キャンセル 　　　　 低速移動ボタン　or　ポーズボタン（キーボードはESC) ３．基本技術　撮影編 ・フィルム装填率 　 100%時のみ写真撮影が可能 、撮影すると0%になります。 ・通常フィルム巻き 　 何もせずとも時間で徐々に回復 し、100%になれば撮影可能です。 ・高速フィルム巻き 　100%に満たない時、 撮影ボタンと低速移動ボタンを同時押しすると、 　 通常より早くフィルムを巻きます 。この時は超精密移動になります。 　＊100%溜まっている状態では、超精密移動のみを行います。 ・ファインダーモード 　 撮影ボタンを押しっぱなしにすると一定時間ファインダーモードに 　 なります 。この時は、文ではなくフォーカスフレームを操作し、 　少し離れた場所を撮影することが可能です。 　＊時間と共にフォーカスフレーム（撮影有効範囲）が小さくなり、 　一定時間でフィルムが 感光（無条件撮影失敗） してしまいます。 ４．基本技術　写真編 ・有効写真と無効写真 　 ボスが写真に収まっていると撮影成功 です。 　この場合は撮影枚数とスコアには加算されません。 ・シュート・ザ・ブリット 　被写体と共に弾幕を撮影すると、 写した弾幕を消すことが出来ます 。 　この時、その美しさで写真の評価点が決まります。 ・決定的瞬間写真 　各ミッション毎に、 最も評価点が高かった写真 は「 決定的瞬間写真 」 　として文の手帖に残ります。 ・撮影時の注意 　撮影するときは 低速移動ボタンを離して撮影ボタンを押さないと 　 撮影できません 。 　しっかりと撮影ポイントに移動してから撮影しましょう。 ５．基本技術　評価点編 ・写真の評価点 　 敵弾を多く撮影するとその写真の評価点が高く なります。 　ボスを写真の中央に収めるほど点数が高くなります。 　（また、様々な条件により点数が加算されます） ・シーンスコア 　シーンスコアは、１シーンの成功写真の合計評価点のみで決まります。 　 失敗写真、およびそれ以外の行動では一切点数は入りません 。 　＊成功写真の枚数は１シーン毎に決められていますので、 　一枚一枚を大切に撮影しましょう。 ・総合撮影評価点 　各シーンの最高評価点（最高シーンスコア）の合計が 　「総合撮影評価点」です。 　つまり、総合撮影評価点も成功写真以外の点数は含まれませんので、 　一枚一枚を大切に。 ６．基本技術　小ネタ編 ・失敗写真のススメ 　失敗写真でも敵弾は消せます。 あえて被写体を狙わずに分厚い弾幕を 　 撮影することで、ピンチを切り抜ける事も可能 です。 　また、失敗写真は手帖には収めず捨ててしまうので、 　 次の撮影までのブランクが短くなります 。その為、無理して被写体を 　撮影しない方が有利になる場合もあります。 ・フォーカスフレームの色 　ファインダーモード時のフォーカスフレームにボスが入ってる時は、 　 フレームが赤く なります。この時に撮影すれば撮影成功です。 ・フォーカスフレームの初期位置 　フォーカスフレームの初期位置はファインダーカーソルの位置です。 　ファインダーカーソルは、高速移動時は移動方向に振れ、低速中は 　ボスの方向を向きます。 ７．応用技術　撮影編 ・ボスの撮影不可能状態 　ボスが消えていたり、画面外にいたり、半透明になっていたり、 　別の物に変形している時は撮影しても必ず失敗します。 　＊撮影不可能の時は 青い魔法陣 を背負っている場合が多い。 ・フィルムが感光するまでの時間の目安 　フォーカスフレームの中心にある大きな円が完全に消えると 　感光（失敗）します。 ・ファインダーカーソルの狙い 　高速でボスに近づいたときは、ファインダーカーソルがボスを 　向いていない事があります。 　この時、 低速移動ボタンを一瞬押すとボスに合わせる ことが出来ます。 ・画面端と写真 　画面端で写真を撮影すると少し小さな写真が出来てしまいます。 　少し損しますので中央寄りで撮影しましょう。 ８．応用技術　ボーナス編 ・写真の評価点ボーナス 　評価点には様々なボーナスがあります。 　　 Boss Shot　ボスが写っている（中央に近いほど高い） 　　 Nice Shot　シャッターチャンスを撮影 　　 Red Shot 　写真に赤が多い 　　 Risk Shot　文が敵弾すれすれの状態で撮影 　など他にも様々なボーナスが存在します。 　＊中には狙う必要のないボーナスもあります。 ・ナイスショット 　ボスが 赤い魔法陣を展開する瞬間が最大のシャッターチャンス です。 　この時に撮影すれば少し多めにボーナスが入ります。 　魔法陣は一瞬だけですので、タイミングを計って撮影しましょう。 　＊シャッターチャンスが存在しないミッションも在ります。 ９．小ネタ　決定的瞬間写真編 ・決定的瞬間写真のロック 　被写体選択で、キーボードの Ｌキー を押すと写真の上にLの字が表示され、 　そのシーンの写真がロックされます。 　以降、決定的瞬間写真より高い点数の写真が撮れても更新されません。 ・決定的瞬間写真の破棄 　ゲーム本体が入っているフォルダの中の、BestShotフォルダに決定的瞬間 　写真が入っています。破棄したいシーンに対応するファイルを破棄すると 　決定的瞬間写真は初期化され、再び写真を撮ることが出来ます。 　破棄したファイルは二度と元に戻りませんので注意。 　＊破棄してもクリア済み情報、ハイスコア、及び総合評価点には影響しません。 ・決定的瞬間写真の手動更新 　ステージクリア画面でベストショットが表示されているとき、左右で 　有効写真を切り替えキーボードの Ｓキー を押すと保存することが出来ます。 　＊ロックしていても強制的に更新します。 ・決定的瞬間写真の処理落ち率 　被写体選択でキーボードのＳキーを押すと、決定的瞬間写真を撮影した 　ときの処理落ち率が表示されます。,"Jun 18, 2021"
Hidden Cats of Mayan,"Hidden Cats of Mayan Embark on a magical adventure in the ancient Mayan world, where mysterious cats have concealed themselves among the stepped pyramids and lush rainforests. Can you find them all? Key Features: • Over 100 uniquely hidden cats waiting to be discovered • Beautiful hand-drawn Mayan temple scenery • Atmospheric soundtrack featuring traditional Mesoamerican instruments • Perfect for short gaming sessions - find a few cats at a time, save your progress, and return anytime Take a break from your daily routine with this relaxing hidden object game. Each cat has its own personality and hiding style, making every discovery a delightful surprise. The game only has one level ","Dec 4, 2024"
Infected Town,"You are a special purpose soldier and your goal is to destroy some settlement, which is inhabited by a bunch of sorcerers. Infected Town is a top-down wave shooter where you have to survive waves of advancing enemies and destroy them. Between certain waves, you can choose an upgrade for your weapon. On the last wave, you need to destroy the boss and his minions.","Jan 18, 2021"
Sniper Ships: Shoot'em Up on Rails,"Dodge bullets and click to destroy enemies with your sniper shoot! This is a classic Shoot'em up mixed with Shooter on Rails mechanics! We challenge you to dodge all the shots and destroy all the enemies! On Sniper Ships you will face enemies' waves by moving your ship using the keyboard (ASDW) and aiming your sniper with the mouse (or two analogs if you use a game controller). Your sniper is way stronger than your common ship bullets and also destroys most enemy's bullets, but can you move, aim and shoot fast enough?! You will face 3 differents waves and bosses. Be prepared for the many attack patterns and for the bullet hell. It'll be hard to finish the game, but it'll be even harder to see your friends with a better score than you, so fight for the highscore and throw it in your friends faces. Keep in mind that you can boost your score if you finish the waves in less time, kill all enemies and avoid being shot. Leaderboard: Fight for the highscore. (Steam Integration) Achievements: 26 achievements to conquer. (Steam Integration) Nostalgic Bosses: 3 tough bosses with pattern-based attacks like the classics. Straight to Action: No running around with lots of texts or customizations that take hours. Just enjoy a single-player campaign full of action and challenge! Partial Controller Support: You can use a controller during to play, but the pause menu needs a mouse. (It might be too difficult on the controller though) Steam Cloud Integration Light Gun Support: Light Gun is supported via the absolute mouse coordinates, you'll need to activate it on the pause menu! ","Mar 26, 2021"
